Name,SID,Email,Lab 1,Lab 1 - Max Points,Lab 1 - Submission Time,Lab 1 - Lateness (H:M:S),Project 1 Checkpoint,Project 1 Checkpoint - Max Points,Project 1 Checkpoint - Submission Time,Project 1 Checkpoint - Lateness (H:M:S),Project 1,Project 1 - Max Points,Project 1 - Submission Time,Project 1 - Lateness (H:M:S),Lab 2,Lab 2 - Max Points,Lab 2 - Submission Time,Lab 2 - Lateness (H:M:S),Lab 3,Lab 3 - Max Points,Lab 3 - Submission Time,Lab 3 - Lateness (H:M:S),Project 2 Checkpoint,Project 2 Checkpoint - Max Points,Project 2 Checkpoint - Submission Time,Project 2 Checkpoint - Lateness (H:M:S),Project 2,Project 2 - Max Points,Project 2 - Submission Time,Project 2 - Lateness (H:M:S),Lab 2 Redemption,Lab 2 Redemption - Max Points,Lab 2 Redemption - Submission Time,Lab 2 Redemption - Lateness (H:M:S),Lab 4,Lab 4 - Max Points,Lab 4 - Submission Time,Lab 4 - Lateness (H:M:S),Lab 3 Redemption,Lab 3 Redemption - Max Points,Lab 3 Redemption - Submission Time,Lab 3 Redemption - Lateness (H:M:S),Project 1 Redemption,Project 1 Redemption - Max Points,Project 1 Redemption - Submission Time,Project 1 Redemption - Lateness (H:M:S),Project 2 Redemption,Project 2 Redemption - Max Points,Project 2 Redemption - Submission Time,Project 2 Redemption - Lateness (H:M:S),Lab 5,Lab 5 - Max Points,Lab 5 - Submission Time,Lab 5 - Lateness (H:M:S),Midterm,Midterm - Max Points,Midterm - Submission Time,Midterm - Lateness (H:M:S),Project 3 Checkpoint,Project 3 Checkpoint - Max Points,Project 3 Checkpoint - Submission Time,Project 3 Checkpoint - Lateness (H:M:S),Project 3,Project 3 - Max Points,Project 3 - Submission Time,Project 3 - Lateness (H:M:S),Lab 4 Redemption,Lab 4 Redemption - Max Points,Lab 4 Redemption - Submission Time,Lab 4 Redemption - Lateness (H:M:S),Lab 6,Lab 6 - Max Points,Lab 6 - Submission Time,Lab 6 - Lateness (H:M:S),Lab 7,Lab 7 - Max Points,Lab 7 - Submission Time,Lab 7 - Lateness (H:M:S),Final Project (Checkpoint1),Final Project (Checkpoint1) - Max Points,Final Project (Checkpoint1) - Submission Time,Final Project (Checkpoint1) - Lateness (H:M:S),Lab 5 Redemption,Lab 5 Redemption - Max Points,Lab 5 Redemption - Submission Time,Lab 5 Redemption - Lateness (H:M:S),Lab 6 Redemption,Lab 6 Redemption - Max Points,Lab 6 Redemption - Submission Time,Lab 6 Redemption - Lateness (H:M:S),Final Project (Checkpoint2),Final Project (Checkpoint2) - Max Points,Final Project (Checkpoint2) - Submission Time,Final Project (Checkpoint2) - Lateness (H:M:S),Lab 8,Lab 8 - Max Points,Lab 8 - Submission Time,Lab 8 - Lateness (H:M:S),Project 3 Redemption,Project 3 Redemption - Max Points,Project 3 Redemption - Submission Time,Project 3 Redemption - Lateness (H:M:S),Discussion 8 Worksheet,Discussion 8 Worksheet - Max Points,Discussion 8 Worksheet - Submission Time,Discussion 8 Worksheet - Lateness (H:M:S),Lab 7 Redemption,Lab 7 Redemption - Max Points,Lab 7 Redemption - Submission Time,Lab 7 Redemption - Lateness (H:M:S),Total Lateness (H:M:S),disc_count,lecture_count,Lab 1 Redemption,Lab 1 Redemption - Max Points,Lab 1 Grade,Lab 1 Redemption Grade,Lab 2 Grade,Lab 2 Redemption Grade,Lab 3 Grade,Lab 3 Redemption Grade,Lab 4 Grade,Lab 4 Redemption Grade,Lab 5 Grade,Lab 5 Redemption Grade,Lab 6 Grade,Lab 6 Redemption Grade,Lab 7 Grade,Lab 7 Redemption Grade,Project 1 Grade,Project 1 Redemption Grade,Project 2 Grade,Project 2 Redemption Grade,Project 3 Grade,Project 3 Redemption Grade,Project 1 Checkpoint Final Grade,Project 2 Checkpoint Final Grade,Project 3 Checkpoint Final Grade,Project 1 Final Grade,Project 2 Final Grade,Project 3 Final Grade,Lab 1 Final Grade,Lab 2 Final Grade,Lab 3 Final Grade,Lab 4 Final Grade,Lab 5 Final Grade,Lab 6 Final Grade,Lab 7 Final Grade,Dropped Labs,Elgible for Discussion,Max Possible Points,Current Max Possible Score,Lab Average,Project Average,Project Checkpoint Average,Overall Score without Discussion,Overall Score with Discussion,Overall Score,Current Score
Abdulrahim Ham,A17531851,amham@ucsd.edu,129.0,133.0,2024-04-10 13:16:54 -0700,00:00:00,13.0,13.0,2024-04-12 17:15:27 -0700,00:00:00,114.0,123.0,2024-04-20 16:59:25 -0700,00:00:00,61.5,79.5,2024-04-17 22:58:35 -0700,00:00:00,52.0,56.0,2024-04-24 12:18:38 -0700,00:00:00,5.0,5.0,2024-04-26 23:06:21 -0700,00:00:00,92.0,101.0,2024-05-05 21:27:21 -0700,00:00:00,,79.5,,00:00:00,89.5,93.0,2024-05-01 11:47:00 -0700,00:00:00,,56.0,,00:00:00,,123.0,,00:00:00,,101.0,,00:00:00,60.5,61.0,2024-05-09 15:59:51 -0700,00:00:00,18.0,50.0,2024-05-02 13:00:17 -0700,00:00:00,10.0,10.0,2024-05-13 13:50:54 -0700,00:00:00,79.0,100.0,2024-05-19 15:14:19 -0700,00:00:00,,93.0,,00:00:00,51.0,56.0,2024-05-15 16:56:22 -0700,00:00:00,108.0,111.0,2024-05-22 15:06:27 -0700,00:00:00,0.0,20.0,2024-05-24 15:58:20 -0700,00:00:00,,61.0,,00:00:00,,56.0,,00:00:00,,20.0,,00:00:00,,65.0,,00:00:00,,100.0,,00:00:00,,7.0,,00:00:00,,111.0,,00:00:00,00:00:00,1.0,6.0,,133.0,0.9699248120300752,,0.7735849056603774,,0.9285714285714286,,0.9623655913978495,,0.9918032786885246,,0.9107142857142857,,0.972972972972973,,0.926829268292683,,0.9108910891089109,,0.79,,1.0,1.0,1.0,0.926829268292683,0.9108910891089109,0.79,0.9699248120300752,0.7735849056603774,0.9285714285714286,0.9623655913978495,0.9918032786885246,0.9107142857142857,0.972972972972973,Lab 2,False,37.30555555555556,37.30555555555556,0.9299910392907876,0.8759067858005313,1.0,33.88977951161666,33.88977951161666,33.88977951161666,90.84378722399104
Aditya Surapaneni,A18134364,assurapaneni@ucsd.edu,127.0,133.0,2024-04-10 18:40:28 -0700,00:00:00,13.0,13.0,2024-04-11 19:37:51 -0700,00:00:00,115.0,123.0,2024-04-19 15:09:28 -0700,00:00:00,76.5,79.5,2024-04-17 16:32:47 -0700,00:00:00,50.0,56.0,2024-04-22 20:19:01 -0700,00:00:00,5.0,5.0,2024-04-23 20:03:30 -0700,00:00:00,93.0,101.0,2024-05-03 10:26:51 -0700,00:00:00,,79.5,,00:00:00,92.0,93.0,2024-04-30 23:13:49 -0700,00:00:00,,56.0,,00:00:00,,123.0,,00:00:00,,101.0,,00:00:00,61.0,61.0,2024-05-08 11:31:54 -0700,00:00:00,23.0,50.0,2024-05-02 13:00:03 -0700,00:00:00,10.0,10.0,2024-05-07 19:19:06 -0700,00:00:00,94.0,100.0,2024-05-14 22:47:32 -0700,00:00:00,93.0,93.0,2024-05-04 20:32:04 -0700,00:00:00,55.0,56.0,2024-05-14 19:12:56 -0700,00:00:00,111.0,111.0,2024-05-21 19:12:32 -0700,00:00:00,20.0,20.0,2024-05-24 17:32:55 -0700,00:00:00,,61.0,,00:00:00,,56.0,,00:00:00,,20.0,,00:00:00,65.0,65.0,2024-05-28 18:17:28 -0700,00:00:00,,100.0,,00:00:00,,7.0,2024-05-25 14:32:39 -0700,00:00:00,,111.0,,00:00:00,00:00:00,6.0,7.0,,133.0,0.9548872180451128,,0.9622641509433962,,0.8928571428571429,,0.989247311827957,1.0,1.0,,0.9821428571428571,,1.0,,0.9349593495934959,,0.9207920792079208,,0.94,,1.0,1.0,1.0,0.9349593495934959,0.9207920792079208,0.94,0.9548872180451128,0.9622641509433962,0.8928571428571429,0.9978494623655914,1.0,0.9821428571428571,1.0,Lab 3,False,37.30555555555556,37.30555555555556,0.9700001187648715,0.9319171429338056,1.0,35.5623371663513,35.5623371663513,35.5623371663513,95.32718823444874
Adrian Apsay,A17384335,adapsay@ucsd.edu,129.0,133.0,2024-04-10 23:04:53 -0700,00:00:00,13.0,13.0,2024-04-12 23:57:07 -0700,00:00:00,122.0,123.0,2024-04-21 19:11:44 -0700,00:00:00,69.0,79.5,2024-04-17 23:58:20 -0700,00:00:00,55.0,56.0,2024-04-24 20:49:29 -0700,00:00:00,5.0,5.0,2024-04-26 22:31:06 -0700,00:00:00,91.0,101.0,2024-05-05 23:38:19 -0700,00:00:00,75.5,79.5,2024-04-26 20:15:27 -0700,00:00:00,90.0,93.0,2024-05-03 23:55:46 -0700,00:00:00,,56.0,,00:00:00,,123.0,,00:00:00,,101.0,,00:00:00,61.0,61.0,2024-05-08 23:09:54 -0700,00:00:00,17.0,50.0,2024-05-02 13:00:17 -0700,00:00:00,10.0,10.0,2024-05-13 19:12:13 -0700,00:00:00,90.5,100.0,2024-05-20 21:56:02 -0700,00:00:00,,93.0,,00:00:00,54.0,56.0,2024-05-16 01:18:14 -0700,00:00:00,111.0,111.0,2024-05-24 23:50:43 -0700,00:00:00,0.0,20.0,2024-05-26 23:20:19 -0700,00:00:00,,61.0,,00:00:00,,56.0,,00:00:00,,20.0,,00:00:00,,65.0,,00:00:00,,100.0,,00:00:00,,7.0,2024-05-28 23:56:13 -0700,00:00:00,,111.0,,00:00:00,00:00:00,7.0,3.0,,133.0,0.9699248120300752,,0.8679245283018868,0.949685534591195,0.9821428571428571,,0.967741935483871,,1.0,,0.9642857142857143,,1.0,,0.991869918699187,,0.900990099009901,,0.905,,1.0,1.0,1.0,0.991869918699187,0.900990099009901,0.905,0.9699248120300752,0.9333333333333333,0.9821428571428571,0.967741935483871,1.0,0.9642857142857143,1.0,Lab 2,False,37.30555555555556,37.30555555555556,0.9739183788965502,0.9326200059030293,1.0,35.6364665601837,35.6364665601837,35.6364665601837,95.52589695953932
Ahmad Ageel,A17500501,aageel@ucsd.edu,,133.0,,00:00:00,,13.0,,00:00:00,,123.0,,00:00:00,72.0,79.5,2024-04-17 23:56:05 -0700,00:00:00,,56.0,,00:00:00,5.0,5.0,2024-04-26 13:08:46 -0700,00:00:00,49.0,101.0,2024-05-05 23:50:30 -0700,00:00:00,,79.5,,00:00:00,22.5,93.0,2024-05-01 22:29:48 -0700,00:00:00,51.0,56.0,2024-05-01 22:29:10 -0700,00:00:00,,123.0,,00:00:00,,101.0,,00:00:00,,61.0,,00:00:00,26.0,50.0,2024-05-02 13:00:03 -0700,00:00:00,,10.0,,00:00:00,,100.0,,00:00:00,,93.0,,00:00:00,,56.0,,00:00:00,109.0,111.0,2024-05-22 13:55:13 -0700,00:00:00,,20.0,,00:00:00,,61.0,,00:00:00,,56.0,,00:00:00,,20.0,,00:00:00,,65.0,,00:00:00,,100.0,,00:00:00,,7.0,,00:00:00,,111.0,,00:00:00,00:00:00,0.0,0.0,,133.0,,,0.9056603773584906,,,0.9107142857142857,0.24193548387096775,,,,,,0.9819819819819819,,,,0.48514851485148514,,,,,1.0,,,0.48514851485148514,,,0.9056603773584906,,0.24193548387096775,,,0.9819819819819819,Lab 1,False,37.30555555555556,37.30555555555556,0.30422540617306293,0.1617161716171617,0.3333333333333333,8.764573424958316,8.764573424958316,8.764573424958316,23.494016626842843
Albert Henderson,A16384282,adhender@ucsd.edu,126.0,133.0,2024-04-11 11:33:48 -0700,00:00:00,12.0,13.0,2024-04-12 23:26:02 -0700,00:00:00,90.0,123.0,2024-04-18 02:15:21 -0700,00:00:00,61.5,79.5,2024-04-16 22:17:55 -0700,00:00:00,47.75,56.0,2024-04-23 22:15:18 -0700,00:00:00,5.0,5.0,2024-04-26 20:33:41 -0700,00:00:00,64.0,101.0,2024-05-05 15:30:39 -0700,00:00:00,69.5,79.5,2024-04-19 21:31:40 -0700,00:00:00,84.0,93.0,2024-05-01 23:36:30 -0700,00:00:00,,56.0,,00:00:00,,123.0,,00:00:00,55.0,101.0,2024-05-25 00:04:20 -0700,00:00:00,0.0,61.0,2024-05-08 23:50:47 -0700,00:00:00,20.0,50.0,2024-05-02 13:00:03 -0700,00:00:00,10.0,10.0,2024-05-11 13:50:10 -0700,00:00:00,82.0,100.0,2024-05-17 23:58:11 -0700,00:00:00,,93.0,,00:00:00,49.5,56.0,2024-05-17 12:45:11 -0700,00:00:00,101.0,111.0,2024-05-22 23:32:21 -0700,00:00:00,0.0,20.0,2024-05-24 23:43:05 -0700,00:00:00,59.0,61.0,2024-05-18 00:06:54 -0700,00:00:00,,56.0,,00:00:00,,20.0,,00:00:00,,65.0,,00:00:00,,100.0,,00:00:00,,7.0,,00:00:00,,111.0,,00:00:00,00:00:00,0.0,0.0,,133.0,0.9473684210526315,,0.7735849056603774,0.8742138364779874,0.8526785714285714,,0.9032258064516129,,0.0,0.9672131147540983,0.8839285714285714,,0.9099099099099099,,0.7317073170731707,,0.6336633663366337,0.5445544554455446,0.82,,0.9230769230769231,1.0,1.0,0.7317073170731707,0.6336633663366337,0.82,0.9473684210526315,0.8540880503144654,0.8526785714285714,0.9032258064516129,0.7737704918032787,0.8839285714285714,0.9099099099099099,Lab 5,False,37.30555555555556,37.30555555555556,0.8749956889127202,0.7284568944699347,0.9743589743589745,30.192687744141626,30.192687744141626,30.192687744141626,80.93348911311232
Allison Jerez,A17546139,aljerez@ucsd.edu,128.0,133.0,2024-04-10 22:38:03 -0700,00:00:00,13.0,13.0,2024-04-12 17:09:31 -0700,00:00:00,115.0,123.0,2024-04-19 16:59:25 -0700,00:00:00,78.5,79.5,2024-04-17 16:22:44 -0700,00:00:00,51.0,56.0,2024-04-26 14:23:04 -0700,00:00:00,5.0,5.0,2024-04-26 16:08:50 -0700,00:00:00,96.0,101.0,2024-05-05 19:06:24 -0700,00:00:00,,79.5,,00:00:00,85.5,93.0,2024-05-03 17:29:07 -0700,00:00:00,,56.0,,00:00:00,,123.0,,00:00:00,,101.0,,00:00:00,61.0,61.0,2024-05-08 21:13:36 -0700,00:00:00,13.0,50.0,2024-05-02 13:00:17 -0700,00:00:00,10.0,10.0,2024-05-13 13:33:44 -0700,00:00:00,85.0,100.0,2024-05-16 21:19:21 -0700,00:00:00,,93.0,,00:00:00,55.0,56.0,2024-05-15 01:23:51 -0700,00:00:00,107.0,111.0,2024-05-23 18:28:02 -0700,00:00:00,20.0,20.0,2024-05-24 15:45:47 -0700,00:00:00,,61.0,,00:00:00,,56.0,,00:00:00,,20.0,,00:00:00,,65.0,,00:00:00,,100.0,,00:00:00,,7.0,,00:00:00,,111.0,,00:00:00,00:00:00,7.0,5.0,,133.0,0.9624060150375939,,0.9874213836477987,,0.9107142857142857,,0.9193548387096774,,1.0,,0.9821428571428571,,0.963963963963964,,0.9349593495934959,,0.9504950495049505,,0.85,,1.0,1.0,1.0,0.9349593495934959,0.9504950495049505,0.85,0.9624060150375939,0.9874213836477987,0.9107142857142857,0.9193548387096774,1.0,0.9821428571428571,0.963963963963964,Lab 3,False,37.30555555555556,37.30555555555556,0.960857620602311,0.9118181330328156,1.0,35.04326409262346,35.04326409262346,35.04326409262346,93.93577865483577
Alyssa Tallada,A17339544,atallada@ucsd.edu,115.0,133.0,2024-04-10 10:19:29 -0700,00:00:00,13.0,13.0,2024-04-15 13:16:58 -0700,61:17:58,103.0,123.0,2024-04-21 17:00:06 -0700,00:00:00,70.0,79.5,2024-04-19 20:16:30 -0700,44:17:30,47.5,56.0,2024-04-23 23:42:31 -0700,00:00:00,5.0,5.0,2024-04-25 16:02:01 -0700,00:00:00,69.0,101.0,2024-05-05 18:59:24 -0700,00:00:00,,79.5,,00:00:00,73.5,93.0,2024-05-01 19:27:33 -0700,00:00:00,,56.0,,00:00:00,107.0,123.0,2024-05-24 00:30:31 -0700,00:00:00,,101.0,,00:00:00,61.0,61.0,2024-05-08 20:21:33 -0700,00:00:00,21.0,50.0,2024-05-02 13:00:04 -0700,00:00:00,10.0,10.0,2024-05-13 20:13:25 -0700,00:00:00,40.0,100.0,2024-05-19 23:58:22 -0700,00:00:00,,93.0,,00:00:00,45.0,56.0,2024-05-17 15:24:08 -0700,00:00:00,107.0,111.0,2024-05-22 10:24:27 -0700,00:00:00,20.0,20.0,2024-05-26 23:01:39 -0700,00:00:00,,61.0,,00:00:00,,56.0,,00:00:00,,20.0,,00:00:00,,65.0,,00:00:00,84.0,100.0,2024-05-28 12:09:27 -0700,00:00:00,,7.0,,00:00:00,,111.0,,00:00:00,105:35:28,0.0,7.0,,133.0,0.8646616541353384,,0.8805031446540881,,0.8482142857142857,,0.7903225806451613,,1.0,,0.8035714285714286,,0.963963963963964,,0.8373983739837398,0.8699186991869918,0.6831683168316832,,0.4,0.84,1.0,1.0,1.0,0.8634146341463415,0.6831683168316832,0.752,0.8646616541353384,0.8805031446540881,0.8482142857142857,0.7903225806451613,1.0,0.8035714285714286,0.963963963963964,Lab 4,False,37.30555555555556,37.30555555555556,0.8787481510977523,0.7661943169926749,1.0,31.035559127355473,31.035559127355473,31.035559127355473,83.19286139871906
Andrew Boyle,A16282650,aboyle@ucsd.edu,133.0,133.0,2024-05-26 21:42:52 -0700,1101:43:52,,13.0,,00:00:00,110.0,123.0,2024-04-21 20:47:15 -0700,00:00:00,43.0,79.5,2024-04-17 23:53:14 -0700,00:00:00,38.5,56.0,2024-04-23 21:08:22 -0700,00:00:00,5.0,5.0,2024-04-25 21:19:42 -0700,00:00:00,77.0,101.0,2024-05-04 20:55:23 -0700,00:00:00,66.5,79.5,2024-05-28 20:42:39 -0700,00:00:00,87.5,93.0,2024-05-03 13:47:45 -0700,00:00:00,,56.0,,00:00:00,,123.0,,00:00:00,,101.0,,00:00:00,61.0,61.0,2024-05-08 14:59:41 -0700,00:00:00,27.0,50.0,2024-05-02 13:00:17 -0700,00:00:00,10.0,10.0,2024-05-09 14:57:47 -0700,00:00:00,78.0,100.0,2024-05-21 15:26:54 -0700,00:00:00,,93.0,,00:00:00,47.0,56.0,2024-05-15 19:06:33 -0700,00:00:00,107.0,111.0,2024-05-24 16:45:05 -0700,00:00:00,0.0,20.0,2024-05-24 18:31:35 -0700,00:00:00,,61.0,,00:00:00,,56.0,,00:00:00,,20.0,,00:00:00,64.0,65.0,2024-05-26 20:25:00 -0700,00:00:00,,100.0,,00:00:00,,7.0,2024-05-28 15:35:11 -0700,00:00:00,,111.0,,00:00:00,1101:43:52,4.0,3.0,133.0,133.0,1.0,1.0,0.5408805031446541,0.8364779874213837,0.6875,,0.9408602150537635,,1.0,,0.8392857142857143,,0.963963963963964,,0.8943089430894309,,0.7623762376237624,,0.78,,,1.0,1.0,0.8943089430894309,0.7623762376237624,0.78,1.0,0.7773584905660378,0.6875,0.9408602150537635,1.0,0.8392857142857143,0.963963963963964,Lab 3,False,37.30555555555556,37.30555555555556,0.8869954834099257,0.8122283935710645,0.6666666666666666,31.02698989916741,31.02698989916741,31.02698989916741,83.16989101787243
Andy Huang,A17391626,anh031@ucsd.edu,126.0,133.0,2024-04-12 00:52:07 -0700,00:00:00,3.0,13.0,2024-04-12 13:14:42 -0700,00:00:00,95.0,123.0,2024-04-21 23:04:41 -0700,00:00:00,75.5,79.5,2024-04-19 17:36:50 -0700,41:37:50,51.0,56.0,2024-04-26 21:33:42 -0700,00:00:00,5.0,5.0,2024-04-26 22:20:36 -0700,00:00:00,85.0,101.0,2024-05-05 02:04:49 -0700,00:00:00,,79.5,,00:00:00,82.5,93.0,2024-05-03 21:13:28 -0700,00:00:00,,56.0,,00:00:00,,123.0,,00:00:00,,101.0,,00:00:00,61.0,61.0,2024-05-10 17:42:02 -0700,00:00:00,19.0,50.0,2024-05-02 13:00:09 -0700,00:00:00,10.0,10.0,2024-05-13 22:08:16 -0700,00:00:00,69.0,100.0,2024-05-19 21:32:16 -0700,00:00:00,,93.0,,00:00:00,51.0,56.0,2024-05-17 21:09:27 -0700,00:00:00,105.0,111.0,2024-05-24 01:01:08 -0700,00:00:00,,20.0,,00:00:00,,61.0,,00:00:00,,56.0,,00:00:00,,20.0,,00:00:00,,65.0,,00:00:00,,100.0,,00:00:00,,7.0,2024-05-28 00:27:07 -0700,00:00:00,,111.0,,00:00:00,41:37:50,3.0,5.0,,133.0,0.9473684210526315,,0.949685534591195,,0.9107142857142857,,0.8870967741935484,,1.0,,0.9107142857142857,,0.9459459459459459,,0.7723577235772358,,0.8415841584158416,,0.69,,0.23076923076923078,1.0,1.0,0.7723577235772358,0.8415841584158416,0.69,0.9473684210526315,0.949685534591195,0.9107142857142857,0.8870967741935484,1.0,0.9107142857142857,0.9459459459459459,Lab 4,False,37.30555555555556,37.30555555555556,0.9359321781731273,0.7679806273310258,0.7435897435897436,31.189350987030167,31.189350987030167,31.189350987030167,83.60511061303693
Andy Nguyen,A17488913,ann025@ucsd.edu,106.0,133.0,2024-04-10 18:43:26 -0700,00:00:00,6.0,13.0,2024-04-12 19:02:24 -0700,00:00:00,90.0,123.0,2024-04-18 04:36:10 -0700,00:00:00,55.0,79.5,2024-04-17 17:38:15 -0700,00:00:00,32.0,56.0,2024-04-25 20:12:44 -0700,00:00:00,5.0,5.0,2024-04-26 23:05:34 -0700,00:00:00,31.0,101.0,2024-05-04 21:09:58 -0700,00:00:00,,79.5,,00:00:00,85.0,93.0,2024-05-01 23:03:35 -0700,00:00:00,32.0,56.0,2024-04-30 10:57:43 -0700,00:00:00,,123.0,,00:00:00,,101.0,,00:00:00,59.0,61.0,2024-05-08 23:58:49 -0700,00:00:00,20.0,50.0,2024-05-02 13:00:09 -0700,00:00:00,,10.0,,00:00:00,59.5,100.0,2024-05-19 22:51:07 -0700,00:00:00,,93.0,,00:00:00,54.0,56.0,2024-05-15 14:53:15 -0700,00:00:00,109.0,111.0,2024-05-22 20:44:23 -0700,00:00:00,0.0,20.0,2024-05-24 18:32:08 -0700,00:00:00,60.5,61.0,2024-05-20 20:16:27 -0700,00:00:00,39.0,56.0,2024-05-20 18:26:27 -0700,00:00:00,,20.0,,00:00:00,,65.0,,00:00:00,,100.0,,00:00:00,,7.0,2024-05-28 18:36:59 -0700,00:00:00,,111.0,,00:00:00,00:00:00,5.0,5.0,,133.0,0.7969924812030075,,0.6918238993710691,,0.5714285714285714,0.5714285714285714,0.9139784946236559,,0.9672131147540983,0.9918032786885246,0.9642857142857143,0.6964285714285714,0.9819819819819819,,0.7317073170731707,,0.3069306930693069,,0.595,,0.46153846153846156,1.0,,0.7317073170731707,0.3069306930693069,0.595,0.7969924812030075,0.6918238993710691,0.5714285714285714,0.9139784946236559,0.9868852459016393,0.9642857142857143,0.9819819819819819,Lab 3,False,37.30555555555556,37.30555555555556,0.8439109126850914,0.5445460033808259,0.4871794871794872,24.79927911114148,24.79927911114148,24.79927911114148,66.4761018615855
